PassThruStartMsgFilter wildcard status=0 
hour soak starts: 3600 s, rss_start=4892 kB
t=60s frames=147372 rate=2456/s requests=60 replies=60 unanswered=0 write_failures=0 overflows=0 max_gap_us=5800 gaps_over_10ms=0 rss=5228 kB
t=120s frames=294730 rate=2456/s requests=120 replies=120 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5312 kB
t=180s frames=442127 rate=2456/s requests=180 replies=180 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5312 kB
t=240s frames=589492 rate=2456/s requests=240 replies=240 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5312 kB
t=300s frames=736880 rate=2456/s requests=300 replies=300 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5316 kB
t=360s frames=884249 rate=2456/s requests=360 replies=360 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5316 kB
t=420s frames=1031637 rate=2456/s requests=420 replies=420 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=480s frames=1179009 rate=2456/s requests=480 replies=480 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=540s frames=1326389 rate=2456/s requests=540 replies=540 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=600s frames=1473760 rate=2456/s requests=600 replies=600 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=660s frames=1621143 rate=2456/s requests=660 replies=660 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=720s frames=1768516 rate=2456/s requests=720 replies=720 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=780s frames=1915881 rate=2456/s requests=780 replies=780 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=840s frames=2063266 rate=2456/s requests=840 replies=840 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=900s frames=2210651 rate=2456/s requests=900 replies=900 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=960s frames=2358014 rate=2456/s requests=960 replies=960 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=1020s frames=2505388 rate=2456/s requests=1020 replies=1020 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5320 kB
t=1080s frames=2652777 rate=2456/s requests=1080 replies=1080 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1140s frames=2800164 rate=2456/s requests=1140 replies=1140 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1200s frames=2947527 rate=2456/s requests=1200 replies=1200 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1260s frames=3094896 rate=2456/s requests=1260 replies=1260 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1320s frames=3242272 rate=2456/s requests=1320 replies=1320 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1380s frames=3389658 rate=2456/s requests=1380 replies=1380 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1440s frames=3537029 rate=2456/s requests=1440 replies=1440 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1500s frames=3684399 rate=2456/s requests=1500 replies=1500 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1560s frames=3831787 rate=2456/s requests=1560 replies=1560 unanswered=0 write_failures=0 overflows=0 max_gap_us=8100 gaps_over_10ms=0 rss=5344 kB
t=1620s frames=3979159 rate=2456/s requests=1620 replies=1620 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=1680s frames=4126528 rate=2456/s requests=1680 replies=1680 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=1740s frames=4273888 rate=2456/s requests=1740 replies=1740 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=1800s frames=4421245 rate=2456/s requests=1800 replies=1800 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
t=1860s frames=4568597 rate=2456/s requests=1860 replies=1860 unanswered=0 write_failures=0 overflows=0 max_gap_us=8400 gaps_over_10ms=0 rss=5344 kB
