# mongoose-client serial:AOLHE0000003666A --vehicle-ignition   (RUN 2: started with the ignition already off and the car locked, about 6.5 min after it was switched off; MONGOOSE_OBSERVE_SECONDS=900, stopped at 168 s)
# The observer goes listen-only after two unanswered requests. The bus went QUIET at 32.8 s; the ignition was switched ON at about 68 s and the bus woke on the same open channel.
PassThruStartMsgFilter wildcard status=0 
observer starts: 900 s. Switch the ignition off and on when you like.
t=   1s bus=active frames/s=665   total=665      vbatt=13200 mV req=1 rep=0 unans=0 wfail=0 ovf=0 err=0
UNANSWERED request at t=0.0s
t=   2s bus=active frames/s=700   total=1365     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=   3s bus=active frames/s=687   total=2052     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=   4s bus=active frames/s=697   total=2749     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=   5s bus=active frames/s=684   total=3433     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=   6s bus=active frames/s=700   total=4133     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=   7s bus=active frames/s=685   total=4818     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=   8s bus=active frames/s=704   total=5522     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=   9s bus=active frames/s=684   total=6206     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=  10s bus=active frames/s=697   total=6903     vbatt=13200 mV req=1 rep=0 unans=1 wfail=0 ovf=0 err=0
t=  11s bus=active frames/s=688   total=7591     vbatt=13200 mV req=2 rep=0 unans=1 wfail=0 ovf=0 err=0
UNANSWERED request at t=10.1s
*** t=11.1s two requests unanswered: listening only from here
t=  12s bus=active frames/s=699   total=8290     vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  13s bus=active frames/s=689   total=8979     vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  14s bus=active frames/s=697   total=9676     vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  15s bus=active frames/s=687   total=10363    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  16s bus=active frames/s=699   total=11062    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  17s bus=active frames/s=688   total=11750    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  18s bus=active frames/s=696   total=12446    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  19s bus=active frames/s=689   total=13135    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  20s bus=active frames/s=697   total=13832    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  21s bus=active frames/s=688   total=14520    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  22s bus=active frames/s=698   total=15218    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  23s bus=active frames/s=685   total=15903    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  24s bus=active frames/s=697   total=16600    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  25s bus=active frames/s=700   total=17300    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  26s bus=active frames/s=686   total=17986    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  27s bus=active frames/s=700   total=18686    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  28s bus=active frames/s=685   total=19371    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  29s bus=active frames/s=704   total=20075    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  30s bus=active frames/s=683   total=20758    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  31s bus=active frames/s=697   total=21455    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  32s bus=active frames/s=481   total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
*** t=32.8s BUS QUIET (last device timestamp 31764400 us)
t=  33s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  34s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  35s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  36s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  37s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  38s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  39s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  40s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  41s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  42s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  43s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  44s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  45s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  46s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  47s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  48s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  49s bus=QUIET  frames/s=0     total=21936    vbatt=13200 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  50s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
t=  51s bus=QUIET  frames/s=0     total=21936    vbatt=13300 mV req=2 rep=0 unans=2 wfail=0 ovf=0 err=0
